Name,Adresse
B!O Shop Viktoria,"Pilatusstrasse 19, 6003 "
BachserMärt Albisrieden,"Ginsterstrasse 1, 8047 "
BachserMärt Bachs,"Bachsertalstrasse 14, 8164 "
BachserMärt Eglisau,"Obergass 1, 8193 "
BachserMärt Kalkbreite,"Badenerstasse 171, 8003 "
BachserMärt Paradiesli,"Seefeldstrasse 29, 8008 "
Bio Casa 5 Stelle SA - Lugano,"Piazza Cioccaro 8, 6900 "
Bio Casa 5 Stelle SA – Agno,"Centro Migros, 6982 "
Bio Casa 5 Stelle SA – Ascona,"via Borgo 19, 6612 "
Bio Casa 5 Stelle SA – Bellinzona,"Piazza Nosetto 6, 6500 "
Bio Casa 5 Stelle SA – Losone,"Mercato Cattori, 6616 "
Bio Lade Bade AG,"Bahnhofstrasse 25, 5400 "
Bioladen Glück,"Bandwiesstr.7, 8630 "
Buono,"Schulthess-Allee 1, 5200 "
Casa Natura,"Edisonstrasse 26, 8050 "
Chornlade,"Fierzgasse 16, 8005 "
Chornlade Idaplatz,"Zurlindenstrasse 211, 8003 "
der bioladen,"Altstetterstrasse 128, 8048 "
Ekkharthof - Leben aus anderer Perspektive,"Rütelistrasse 2, 8574 "
Erboristi Lendi,"Via Costa 17, 6986 "
hallerladen – der biomarkt,"Länggassstrasse 30/Ecke Mittelstrasse, 3012 "
Höheners Der Basler Bioladen AG,"Schützenmattstrasse 30, 4051 "
Integral Bio-Laden,"Poststrasse 8, 3400 "
Korn.Haus,"Pestalozzistrasse 2, 9500 "
köstliches von haas,"Waldheimstr. 4, 6314 "
köstliches von haas,"Dorfstrasse 32, 6340 "
L'Aubier SA,"Les Murailles 5, 2037 "
L'ULTIMO BACIO franchising GmbH,"Hermesbühlstrasse 21, 4500 "
La Cucina Tee & Gewürze,"Leiernstrasse 3, 3054 "
La Ferme 1794,"Champ-Raclè 19, 3280 "
Lindenmühle,"Landstrasse 39, 8450 "
Märit-Laden Wabern,"Seftigenstrasse 208, 3084 "
Murimoos werken und wohnen,"Postfach, 5630 "
Naturlade Wald GmbH,"Schlipfstrasse 12, 8636 "
Oekoladen Thun GmbH,"Obere Haptgasse 20, 3600 "
Öpfelbaum,"Braschlergasse 8, 8610 "
Phönix,"Bahnhofstrasse 4, 2502 "
portanatura.ch,"Kirchplatz 6, 4800 "
PrimaNatura,"Dorfplatz 4, 4144 "
Rägawurm,"Comandergasse 3, 7000 "
Rägeboge Winterthur,"Rudolfstrasse 13, 8400 "
REFORM VETSCH,"Alvierstrasse 12, 9470 "
Regenbogen Bio Reformhaus,"Oberer Steisteg 10, 6340 "
s'Drüegg,"Gerbestrasse 6, 8820 "
Stadtladen,"Katharinengasse 12, 9000 "
Stiftung Stöckenweid,"Bünishoferstrasse 295, 8706 "
vatter Royal,"Luisenstrasse 14, 3005 "
WIWA-Naturkost,"Poststrasse 8, 4460 "
Almaris Fine Food GmbH,"Im Langstuck 4, 8044 "
Alna Diététique Bio,"Rue de Cornavin 3-5, 1201 "
Amaltheia bioreform,"Bankweg 51 A, 5610 "
Andeerer Sennerei,"Sennerei, 7440 "
Andermatt Andreas,"Paradies, 9323 "
Angolo della Natura,"Viale della Stazione, 7742 "
Arco Bio-Laden,"Obere Stallstrasse 2, 7430 "
ArteBio,"Av. de Riant-Mont 2, 1004 "
Arvensis SARL,"Av. Béthusy 31, 1012 "
Atelier Spinnler,"Hauptstrasse 47, 4654 "
atelier spirit,"Geerenstrasse 7c, 8604 "
AU FRIAND Sarl,"Faubourg de l'Hopital 1, 2000 "
Au Jardin de Cérès,"rue de Tanneurs 3, 2900 "
Aux saveurs des alpes,"Rte du Rhône 12, 1963 "
bambus bio-fair-trade,"Watterstrasse 18, 8105 "
Becke-Martin Frischprodukte,"Kirchgasse 7c, 4402 "
Bidone,"Hammerstrasse 21, 8008 "
Bio Bäckerei zum Lindhof,"Lindhofstrasse 53, 8617 "
BIO Betschla reform,"Stradun 335, 7550 "
Bio Biasca,"Via Lucomagno 12, 6710 "
Bio Govinda,"Via della Motta 11, 6600 "
Bio im Zentrum,"Uitikonerstrasse 9, 8952 "
Bio Imkerladen,"Berkenstrasse 9, 3373 "
Bio Ladä,"Grotzenmühlestrasse 38, 8840 "
Bio Market,"Via Lavizzari 7 b, 6900 "
Bio Markt,"Hubelweg 5, 1712 "
Bio Markt Liestal,"Hof Wil, 4437 "
Bio Peter,"Stadtgässli 9, 5600 "
Bio Servette,"Rte de Meyrin 3, 1202 "
Bio-Ladä,"Schmiedenstrasse 12, 8840 "
Bio-Laden,"Städtchen 8, 8730 "
Bio-Mag,"Rue E.-Roulet 3, 2034 "
Bio-Märt Fricktal,"Schaufelgasse 34, 4313 "
Bio-Source,"Rue de Gibraltar 20, 2000 "
biofair Genossenschaft,"Dorfwisenstrasse 14, 8165 "
Biolade Grüenfeld,"Grünfeld 2, 8833 "
Bioladen Eichblatt,"St. Johanns-Vorstadt 70, 4056 "
Bioladen Ulme,"Bankstrasse 30, 8750 "
BioLand,"Hauptstrasse 56, 8162 "
Bioland,"Tannwaldstrasse 44, 4600 "
biomobil,"Galizistrasse 6, 5632 "
BIONAT,"Werdstrasse 18, 9410 "
biopartnerLaden,"Staufferstrasse 2, 5703 "
BioPeter Frick,"Widengasse 10, 5070 "
Bioprodukte Grünegg GmbH,"Bellevuestrasse 2a, 6280 "
BioPunktBasel,"Mülhauserstrasse 78, 4056 "
Biosfair,"Bahnhofstrasse 4, 8570 "
BIOSFERA,"Via Bramantino 27, 6600 "
biowelt,"Bahnhofstrasse 35, 8580 "
Birena,"Freiburgstrasse 1, 3150 "
Bühl Laden,"Oberdorfstrasse 20, 8820 "
Calendula,"Soodstrasse 13, 8134 "
Canto Verde,"Limmattalstrasse 178, 8049 "
CC Bio Magasin,"Grand rue 22, 2616 "
Centaurea,"Hauptstrasse 30, 9434 "
"Cérès ""autrement""","Place des Halles 5, 2000 "
Ceres Nature,"Place du Manoir 12, 1223 "
Chäslaube M. Kündig,"Am Marktplatz, 9400 "
Chornlade,"Milchgasse 4, 5000 "
Christen,"Teufenerstrasse 145, 9012 "
Christine Frei,"Schwimmbadstrasse 7, 8213 "
D et A diffusion Sarl,"Pierre Péquignat 16, 2854 "
de Blacke Chrömer,"Marktgasse 3, 9050 "
Der Laden Biofachgeschäft,"Delsbergstrasse 24, 4242 "
Désirée Riedweg-Steinegger,"Mettmenstrasse 9, 6288 "
Drogerie Haas GmbH,"Freiestrasse 22, 8500 "
Egli Christoffel,"Im Bahnhof, 3011 "
Egli Jona,"Molkereistrasse 16, 8645 "
Egli Löwenstrasse - Natural beauty & more,"Löwenstrasse 30, 8001 "
Egli Plaza,"Im Bahnhof, 8001 "
Egli Stauffachertor,"Badenerstrasse 9, 8004 "
Egli Thun,"Bälliz 31, 3600 "
Fahrni Naturprodukte,"Via Salet, 7500 "
Fischermätteli - Lade,"Weissensteinstrasse 29a, 3008 "
Fondation Perceval (Magasin),"Maison François, 1162 "
Fournil de la Ferme,"Ch. de l'Auberge 4, 1213 "
Gaia Alimentation biologique,"2-4, rue Victor Tissot, 1630 "
Gänterli,"Vonmattstrasse 50, 6003 "
Gänterli Bio Laden,"St. Urbangasse 59, 4500 "
Garte-Chuchi,"Lützelflühstrasse 17, 3452 "
