web-scraper-order,web-scraper-start-url,loadmore,loadmore-href,loadstores,loadstores-href,adresse,telefon,website
"1615370119-106","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Käse, Brot & Co.","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/kaese-brot-a-co.html","Schlüsselweg 5, 8810 Horgen","+41 43 244 66 35","null"
"1615370178-123","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Fahrni Naturprodukte","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/fahrni-naturprodukte.html","Via Salet, 7500 St. Moritz","+41 81 833 03 00","null"
"1615370022-79","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Matte-Lädeli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/matte-laedeli.html","Gerberngasse 21, 3011 Bern","null","null"
"1615369918-49","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Pro Natur","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/pro-natur.html","Oberdorfstrasse 12, 8340 Hinwil","+41 44 937 18 19","null"
"1615370296-156","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","BioLand","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bioland.html","Hauptstrasse 56, 8162 Steinmaur","+41 44 854 05 04","null"
"1615370167-120","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Fournil de la Ferme","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/fournil-de-la-ferme.html","Ch. de l'Auberge 4, 1213 Onex","+41 22 793 14 15","null"
"1615370092-98","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","La Bottega","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/la-bottega.html","Bottega Spruga, 6663 Spruga","+41 91 797 11 70","null"
"1615369946-57","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Oekoladen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/oekoladen.html","Theaterstrasse 7, 4051 Basel","+41 61 272 83 40","null"
"1615369997-72","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturata Wettingen (Egli Reform AG)","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturata.html","Landstrasse 102, 5430 Wettingen","+41 56 427 36 10","null"
"1615370380-180","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","bambus bio-fair-trade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bambus-bio-fair-trade.html","Watterstrasse 18, 8105 Regensdorf","+41 44 840 51 59","null"
"1615370359-174","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Govinda","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-govinda.html","Via della Motta 11, 6600 Locarno","+41 91 752 38 51","null"
"1615370258-145","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bühl Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/buehl-laden.html","Oberdorfstrasse 20, 8820 Wädenswil","+41 44 780 31 87","null"
"1615370205-131","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Désirée Riedweg-Steinegger","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/desiree-riedweg-steinegger.html","Mettmenstrasse 9, 6288 Schongau","+41 41 917 46 64","null"
"1615370387-182","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Au Jardin de Cérès","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/au-jardin-de-ceres.html","rue de Tanneurs 3, 2900 Porrentruy","+41 32 466 47 29","null"
"1615369994-71","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturdrogerie","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturdrogerie-.html","Hauptstrasse 40, 2560 Nidau","+41 32 331 64 84","null"
"1615369752-2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Zentrum-Markt Arnold","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/zentrum-markt-arnold.html","Schmiedgasse 10, 6460 Altdorf","null","null"
