Category,Title,Text,Tags,Author
Agile Innovation,Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen,"Die Basis einer erfolgreichen Zusammenarbeit in projektbasierten Teams ist die Formulierung und Verständigung über eine ,geteilte Projektvision. , Die Formulierung einer solchen geteilten Projektversion kommt aus dem Requirements Engineering (RE), wo es vor allem darum geht ein gemeinsames Verständnis für ein zu entwickelndes System zu bekommen, sodass das Entwicklungsteam in der Lage ist eine Lösung zu entwickeln, die die Interessensvertretung (z.B. Nutzer, Designer, Projektleiter etc.) für Gut empfindet. Klassischerweise wurden die geteilten Visionen aller Interessensgruppen, die am zu bauenden System beteiligt sind, schriftlich festgehalten und auch in Textform weiterverarbeitet.,Ein vielversprechenderes Medium für die Visualisierung und Kommunikation eines gemeinsamen Verständnisses des Projekts ist das ,Video,. Oliver Karras fasst das Ziel von ,Vision Videos, in seinem Blog-Beitrag sehr treffend zusammen: “,Ein Vision Video ist ein Video, das eine Vision oder Teile davon (adressiertes Problem, Kernidee der Lösung und Mehrwert der Lösung für das Problem) zeigt, um ein gemeinsames Verständnis unter allen Beteiligten zu erzielen, indem sie ihre mentalen Modelle des zukünftigen Systems offenlegen, diskutieren und aneinander ausrichten,“. Damit bietet ein Vision Video einen visuellen Referenzpunkt für eine aktive Diskussion aller Team-Mitglieder und Beteiligten und führt zu effektiverer Formulierung der Projektbestandteile und gemeinsamen Ziele. Wir finden, dass Vision Videos auch wunderbar dafür genutzt werden können, um die Kreativität jedes Einzelnen im Team herauszufordern und somit eine diverse Grundalge für die weitere Ideenfindung und Ideengenerierung im Team herzustellen.,Aus diesen Gründen haben auch wir uns dazu entschieden die Idee von Vision Videos aus dem Requirements Engineering (RE) in die Lehre zu übernehmen. In unseren sogenannten FPV-Kursen (Forschungs-, Praxis-, und Ventureprojekten) arbeiten studentische Teams an realen Problemstellungen gegeben von Auftraggebern aus der Praxis (eine Ansammlung unserer vergangenen Projekte finden Sie ,HIER,). Eine der ersten Aufgaben der Studierenden ist es, eine sogenannte ,Minimal Viable Solution (MVS), in Form eines 5-minütigen Videos zu erstellen, was unsere Form des Vision Videos darstellt. Mit dieser MVS möchten wir von jedem Studierenden ein klares Verständnis, eine erste kreative Lösung und eine gemeinsame Projektvision hervorlocken. Somit erstellt jedes Gruppenmitglied ein 5-minütiges Video für seine Team-Mitglieder. Im weiteren Verlauf des Projekts können die Ideen aus den Videos dann in einem spannenden und interaktiven Meeting diskutiert und zusammengeführt werden.,Die Idee von Vision Videos ist übrigens nicht neu. Hier finden Sie eines der bekanntesten Vision Videos von Apple: „,Knowledge Navigator,” (,Apple Knowledge Navigator Video (1987),Vielleicht sind Vision Videos ja auch etwas für Ihre Projektarbeit? Erzählen Sie uns gerne in den Kommentaren von Ihren Erfahrungen mit dem Medium “Video”, um so voneinander lernen zu können.,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Digital","Agile Innovation,, ,Digital",Lena-Marie Paetzmann
Agile Innovation,Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,"Im Rahmen ihrer Masterarbeit, hat Julia Lötscher ein Assessment zur Evaluation der Erfolgsfaktoren für digitale Solutions entwickelt. Die Ergebnisse ihrer Arbeit sind im Mai 2020 in einem ,«,Wirtschaftsinformatik & Management,», (WuM) Artikel veröffentlicht worden.,«Digitale Solutions wie beispielsweise mobile Applikationen zeichnen sich durch einen modularen Aufbau aus und kommen in umfangreichen Business-Ökosystemen zur Anwendung. Zudem erfolgt die Entwicklung digitaler Solutions in iterativen Prozessen, wofür insbesondere agile Entwicklungsmethoden eingesetzt werden. Aufgrund dieser Spezifika unterscheidet sich die Ausgestaltung einer Innovationskultur, die den Erfolg digitaler Solutions fördert, vom bisher allgemeinen Verständnis von Innovationskultur. Der Artikel präsentiert einen Fragebogen, welcher zur Evaluation jener organisationskulturellen Aspekte dient, die den Ausschlag für den Erfolg digitaler Solutions geben. Er besteht aus 20 Indikatoren, eingeteilt in sechs organisationskulturelle Konstrukte, anhand welcher Unternehmen eine Standortbestimmung durchführen können.», (Lötscher & Back, 2020),Der vollständige Artikel kann ,HIER, gelesen werden.,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Digital,, ,Future of Work,, ,Lehrstuhlnachrichten,, ,Publikation","Agile Innovation,, ,Digital,, ,Future of Work,, ,Lehrstuhlnachrichten,, ,Publikation",Lena-Marie Paetzmann
Agile Innovation,"Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?","In Gesprächen mit unseren Praxispartnern hören wir immer wieder, dass der Erfolg von digitalen Projekten stark von der Unternehmenskultur – und im engeren Sinne ihrer Innovationskultur – abhängt. Die Ausgestaltung einer Innovationskultur, die den Erfolg digitaler Lösungen fördert, unterscheidet sich jedoch vom bisher allgemeinen Verständnis von Innovationskultur. Wir haben uns im Rahmen einer Forschungsarbeit genauer mit dem Thema befasst. Dazu haben wir ein Assessment mit 20 Indikatoren zur Standortbestimmung entwickelt: ,Erfolgsfaktoren für digitale Solutions,. Die Forschungsarbeit wurden in der Zeitschrift Wirtschaftsinformatik & Management veröffentlicht. Zuletzt haben wir auf Basis der Forschungsarbeit mit den 20 Indikatoren eine Vorstudie abgeschlossen, die die Innovationskultur von mehr als 60 Unternehmen analysiert. 15 Unternehmen füllten den Fragebogen aus; die restlichen bewertete unser studentisches Team anhand öffentlich zugänglicher Informationen, wie deren Websites. Die Erkenntnisse dieses Vorprojekts geben uns Hinweise für die Gestaltung einer allfälligen umfassenderen und forschungsbasierten Studie. Die Ergebnisse des Vorprojekts liefern bereits Hinweise auf Unterschiede in den Branchen und auf jeweilige Handlungsbedarfe bei den Innovationskulturaspekten, um digitale Lösungen effektiver entwickeln zu können.,Autor:,
						,Christian Marheine,Tags:,
							,Agile Innovation,, ,Digital,, ,Lehrstuhlnachrichten","Agile Innovation,, ,Digital,, ,Lehrstuhlnachrichten",Christian Marheine
Agile Innovation,Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,"In einem Interview für die Plattform “,Learning Insights,” hat Frau Prof. Dr. Andrea Back Einblicke in zeitgemässes Lernen an der Hochschule gegeben. In einer fünfteiligen Serie möchten wir nun die besonderen Highlights des Gesprächs präsentieren.,Der Begriff “positive Fehlerkultur” wird vor allem in Bezug auf agile Arbeitsmethoden häufig verwendet. Im folgenden Videoabschnitt erklärt Prof. Dr. Andrea Back, warum sie findet, dass der Begriff unglücklich gewählt ist. Zudem schlägt sie eine bessere Alternative vor: ,“Mutkultur”,.,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Future of Work,, ,Learning Innovations,, ,Linktipps","Agile Innovation,, ,Future of Work,, ,Learning Innovations,, ,Linktipps",Lena-Marie Paetzmann
Agile Innovation,Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,"Sponsored Post., Die ,Swissteach AG, hat ihr Portfolio im letzten Jahr merklich erweitert: seit Anfang 2019 hat der E-Learning Experte auch seinen Contentbereich in rekordverdächtiger Zeit auf- und beachtlich ausgebaut. Neben intern produzierten Individualcontents bietet die Schweizer Firma auch diverse Standardlösungen von Partnerfirmen zum sofortigen Gebrauch an. Hierbei setzt die Swissteach – wie bei all ihren Lösungen – fokussiert auf extrem hohe Qualität. Dies zeigt sich nicht nur durch den Gewinn des E-Learning Awards 2020 (in der Kategorie «WBT»), sondern auch in der Wahl ihrer Partner:,Kürzlich nun hat die Swissteach ihre Partnerschaft mit ,CULTURE CONTACT, bekannt gegeben. Das genannte Münchner Unternehmen mit CEO Susanne M. Zaninelli, ist spezialisiert auf Seminare im Bereich «Kulturelle Kompetenz». Susanne M. Zaninelli arbeitet bereits seit 30 Jahren als Coach in diesem Bereich und wird regelmässig von Unternehmen wie Bosch und Rodenstock engagiert. Da genannte Seminare immer schon weit im Voraus ausgebucht sind, suchte CULTURE CONTACT nach einer Lösung, um noch mehr Unternehmen die Möglichkeit zu geben ihren Bedarf zu decken. Schliesslich ist Kulturelle Kompetenz ein entscheidender Erfolgsfaktor für jedes Unternehmen. Einerseits, um über unterschiedliche Organisations-, Regional- und Landeskulturen effektiv zusammenzuarbeiten. Andererseits, weil die dramatischen Veränderungen – Stichworte «Industrie 4.0», «Digitalisierung», «Agilität» und «Künstliche Intelligenz» – die Fähigkeit und Bereitschaft zu einem tiefgreifenden kulturellen Wandel erfordern. Neue Technologien und Methoden führen nur mit dem richtigen «Mindset» und entsprechendem Verhalten zum Erfolg. Ein Thema das auch durch die aktuelle Ausnahmesituation rund um Corona mehr als aktuell ist!,In intensiver Zusammenarbeit haben CULTURE CONTACT und Swissteach es nun geschafft, das sehr gefragte, komplexe Thema in qualitativ hochwertige E-Learnings zu übertragen und somit allen Unternehmen die Möglichkeit zu geben, ihre Mitarbeiter kurzfristig, einfach und effizient auf höchstem Niveau darin weiterzubilden!,Die ersten Module des Programms sind bereits live und werden sehr rege angefragt. Wer neugierig ist, bekommt über nachfolgende Kontaktdaten schnell und unkompliziert weitere Details: einfach Mail an ,sales@swissteach.ch. ,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Artificial Intelligence,, ,Digital,, ,Future of Work,, ,Learning Innovations,, ,Linktipps,, ,Sponsored Post","Agile Innovation,, ,Artificial Intelligence,, ,Digital,, ,Future of Work,, ,Learning Innovations,, ,Linktipps,, ,Sponsored Post",Lena-Marie Paetzmann
Agile Innovation,Unsere Empfehlung: Online Brainstorming Tool „Miro“,"Die kollaborative online Plattform „,Miro,“ ermöglicht es Teams live und digital zu brainstormen. Wir haben das Tool für die Forschung getestet und sind sehr begeistert. Im Folgenden finden Sie sechs Use Cases, die wir für die Verwendung von Miro herausgearbeitet haben:,1) Effektivere Meetings gestalten:, Mit Miro lassen sich (agile) Workflows visuell sehr gut darstellen. Visuelle Workflows können  zu einer effizienteren Meeting-Kultur beitragen. Die Ergebnisse sind direkt online für jeden zu sehen und können für weitere To-Dos bequem weiterverwendet werden.,2) Bessere Notizen in der Vorlesung:, Klassische lineare Notizen sind für das Lernen meistens unbrauchbar. Mithilfe von digitalen Mindmaps können komplexe Prozesse und Inhalte aus der Vorlesung leicht verständlich visualisiert werden. Beim Erstellen der Mindmaps merkt man schnell, dass die Inhalte schon fast gelernt sind – somit ist Miro auch ein echter „time-saver“.,3) Wissensbasis organisieren:, Mit Miro lassen sich auch sogenannte Concept-Maps erstellen, die es einem Team digital ermöglichen sich an denselben Definitionen und Begriffen zu bedienen. Zudem dient das Tool als visuelles Wissensmanagement-System.,4) Visuelle Validierung in der Forschung:, In einer etwas anderer Art der Befragung, haben wir Experten aus der Praxis gebeten ihre Erfahrungen und Meinungen auf einem Miro-Board zu visualisieren. Diese Methode hat geholfen die wertvollen Informationen verständlicher und auch greifbarer für sowohl den Interviewer als auch den Befragten darzulegen.,5) Strategische Planung:, Mit Miro lassen sich auch übersichtliche Mindmaps zu Produkt-, Unternehmens- und Marktanalysen darstellen.,6) Interaktivere Gruppenarbeiten:, Die interaktive Natur der Plattform kann für höhere Beteiligungen sorgen und die Zusammenarbeit verbessern. Visualisierungen sind sehr hilfreich, um das gemeinsame Verständnis zu stärken und den Fortschritt festzuhalten.,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Digital,, ,Future of Work,, ,Learning Innovations,, ,Management Tools,, ,Productivity Tools","Agile Innovation,, ,Digital,, ,Future of Work,, ,Learning Innovations,, ,Management Tools,, ,Productivity Tools",Lena-Marie Paetzmann
Agile Innovation,Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart,"Zum freien Download ist im November das Buch «,Ecosystem Innovation,», herausgegeben von Kickstart-Innovation, erschienen,. Wir sind stolz, dass wir für einen Beitrag eingeladen wurden: Das Startup-Collaboration-Model (S. 80 ff.) ist im Rahmen einer Masterarbeit von Tina Werro und als Teil einer Doktorarbeit von Lukas Peter am Lehrstuhl entstanden. Auch toll, dass dieses hochaktuelle Buch mit den vielen Beitragenden von der ,Handelszeitung, besprochen wurde. Wir forschen weiter in dem Bereich «Agile Innovation», wie wir es nennen, u.a. zu Intrapreneurship – freuen Sie sich auf einige weitere Beiträge auf diesem Blog.,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Lehrstuhlnachrichten,, ,Publikation","Agile Innovation,, ,Lehrstuhlnachrichten,, ,Publikation",Lena-Marie Paetzmann
Agile Innovation,"45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»","Von der Terminvereinbarung über die Reparatur des Fahrzeugs bis zum Versand der Rechnung: Werkstattprozesse bei Garagsiten laufen überall in etwa gleich ab. Doch neue Technologien haben das Potenzial, diese Prozesse zu vereinfachen und zu beschleunigen.,Unsere Masterstudierende Fabienne Rudolf, Michèle Odermatt, Pascal Inauen und Sophie Stopp haben sich im Rahmen eines unserer Forschungs-, Praxis-, oder Venture-Projekte (kurz FPV) mit den Prozessen in einer Autowerkstatt und mit digitalen Technologien beschäftigt und konkrete Ideen für eine Autowerkstatt der Zukunft entworfen. Auftraggeber der Studie war der Automobil Gewerbe Verband Schweiz (kurz AGVS). Federführend beim AGVS war der Bereich Branchenvertretung unter der Führung von Markus Aegerter. Die Leitung seitens HSG hatten Arne Grüttner und Professorin Andrea Back.,Die Ergebnisse der Marktanalyse koennen unter folgendem Link digital abgerufen werden: ,Hier klicken,.,Bei Rückfragen, Anmerkungen oder Vortragsanfragen kann sich an ,arne.gruettner@unisg.ch, (+41 71 224 3395) gewendet werden.,Autor:,
						,Arne Grüttner,Tags:,
							,Agile Innovation,, ,Digital,, ,Lehrstuhlnachrichten,, ,Praxisprojekt","Agile Innovation,, ,Digital,, ,Lehrstuhlnachrichten,, ,Praxisprojekt",Arne Grüttner
Agile Innovation,Digitaltag Schweiz 2019: In unserer Digital-Entrepreneurship-Werkstatt spüren Schülerinnen und Schüler ersten Unternehmergeist,"Technologie, Kreativität und Unternehmertum: Rund 30 Schülerinnen und Schüler erleben den nationalen Digitaltag am 3. September 2019 im Bildungslab Smartfeld im Startfeld Innovationszentrum in St.Gallen.,Mit dem von unserem Doktroanden Arne Grüttner entwickelten Kurs «Digital-Entrepreneurship-Werkstatt» werden die Schülerinnen und Schüler auf die digitalen Herausforderungen von morgen sensibilisiert. Betreut von Joana Racine (Masterandin an der HSG und drei weiteren Studierenden) erleben SuS in unserem Tagesworkshop, was es heisst mit Hilfe der Design-Thinking Methode, einen ersten Prototypen einer Idee zu entwickeln. Die Design Thinking Methode, welche zur Lösung von komplexen Problemen und zur Entwicklung von Innovationen durch viele Unternehmen und Organisationen eingesetzt wird, ist Grundlage dieses Workshops. Mit dieser Methode durchleben die Fünft- und Sechstklässler am Digitaltag eine Problemstellung in Berufen, welche hiermit gelöst wird. Dabei entdecken sie u.a. VR-Brillen und 3D-Drucker. Anschliessend werden Ideen und Produkte mit Hilfe eines Geschäftsmodells (Business Model Canvas) durchdacht.,Die «Digital-Entrepreneurship-Werkstatt» wird von unserem Lehrstuhl und dem Smartfeld mehrmals im Jahr durchgefuehrt. Mehr Informationen zur «,Digital-Entrepreneurship-Werkstatt,» gibt es hier:,Autor:,
						,Arne Grüttner,Tags:,
							,Agile Innovation,, ,Digital,, ,Learning Innovations,, ,Lehrstuhlnachrichten","Agile Innovation,, ,Digital,, ,Learning Innovations,, ,Lehrstuhlnachrichten",Arne Grüttner
Agile Innovation,Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,"Auf der Suche nach neuem Input zum Thema Intrapreneurship, bin ich über eine sehr spannende Podcast-Serie gestossen. Auf dem Blog „,Zukunft der Arbeit,“ veröffentlicht die Bertelsmann Stiftung in regelmäßigen Abständen Podcasts zur digitalen Transformation der Arbeitswelt.,(Mit dem Ohr) hängen geblieben, bin ich am ,Podcast #18: ein Interview mit dem Autor Greg Larkin über Intrapreneurship,. In seinem Buch „,This might get me fired,“ beschreibt er wie große Konzerne, trotz fest gefahrener Strukturen, innovative und digitale Produkte in nur 8 Wochen auf den Markt bringen können. Das Buch richtet sich primär an Intrapreneurs, die sich nicht trauen riskante und unbekannte Wege zu gehen. Die Idee ist eben, so betont Larkin in dem Podcast, Intrapreneurs Strategien an die Hand zu geben, um nicht nur ein neues Produkt auf den Markt zu bringen, sondern gleichzeitig die ganze Organisation zu transformieren. Mit seinem Buch möchte er aus innovativen Denkern herauskitzeln, dass sie mit ihren Ideen Grenzen überschreiten, auch wenn dies manchmal die Kündigung bedeutet (obwohl er meint, dass dies ja meistens sowieso nicht passiert), denn erst dann kann auch die Organisation Grenzen zu neuen Märkten überschreiten. In der „safe zone“ zu arbeiten, ist einfach, aber intrapreneurship zu betreiben, bringt Erfolg, so Larkin. Wie das genau funktioniert, erklärt Greg Larkin in dem ,Podcast,.,Autor:,
						,Lena-Marie Paetzmann,Tags:,
							,Agile Innovation,, ,Corporate Entrepreneurship,, ,Future of Work","Agile Innovation,, ,Corporate Entrepreneurship,, ,Future of Work",Lena-Marie Paetzmann
