Kategorie,Titel,Inhalt
Agile Innovation,Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen,"Die Basis einer erfolgreichen Zusammenarbeit in projektbasierten Teams ist die Formulierung und Verständigung über eine geteilte Projektvision.  Die Formulierung einer solchen geteilten Projektversion kommt aus dem Requirements Engineering (RE), wo es vor allem darum geht ein gemeinsames Verständnis für ein zu entwickelndes System zu bekommen, sodass das Entwicklungsteam in der Lage ist eine Lösung zu entwickeln, die die Interessensvertretung (z.B. Nutzer, Designer, Projektleiter etc.) für Gut empfindet. Klassischerweise wurden die geteilten Visionen aller Interessensgruppen, die am zu bauenden System beteiligt sind, schriftlich festgehalten und auch in Textform weiterverarbeitet. Ein vielversprechenderes Medium für die Visualisierung und Kommunikation eines gemeinsamen Verständ..."
Agile Innovation,Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,"Im Rahmen ihrer Masterarbeit, hat Julia Lötscher ein Assessment zur Evaluation der Erfolgsfaktoren für digitale Solutions entwickelt. Die Ergebnisse ihrer Arbeit sind im Mai 2020 in einem «Wirtschaftsinformatik & Management» (WuM) Artikel veröffentlicht worden. «Digitale Solutions wie beispielsweise mobile Applikationen zeichnen sich durch einen modularen Aufbau aus und kommen in umfangreichen Business-Ökosystemen zur Anwendung. Zudem erfolgt die Entwicklung digitaler Solutions in iterativen Prozessen, wofür insbesondere agile Entwicklungsmethoden eingesetzt werden. Aufgrund dieser Spezifika unterscheidet sich die Ausgestaltung einer Innovationskultur, die den Erfolg digitaler Solutions fördert, vom bisher allgemeinen Verständnis von Innovationskultur. Der Artikel prä..."
Agile Innovation,"Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?","In Gesprächen mit unseren Praxispartnern hören wir immer wieder, dass der Erfolg von digitalen Projekten stark von der Unternehmenskultur – und im engeren Sinne ihrer Innovationskultur – abhängt. Die Ausgestaltung einer Innovationskultur, die den Erfolg digitaler Lösungen fördert, unterscheidet sich jedoch vom bisher allgemeinen Verständnis von Innovationskultur. Wir haben uns im Rahmen einer Forschungsarbeit genauer mit dem Thema befasst. Dazu haben wir ein Assessment mit 20 Indikatoren zur Standortbestimmung entwickelt: Erfolgsfaktoren für digitale Solutions. Die Forschungsarbeit wurden in der Zeitschrift Wirtschaftsinformatik & Management veröffentlicht. Zuletzt haben wir auf Basis der Forschungsarbeit mit den 20 Indikatoren eine Vorstudie abgeschlossen, die die Innovati..."
Agile Innovation,Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,"In einem Interview für die Plattform “Learning Insights” hat Frau Prof. Dr. Andrea Back Einblicke in zeitgemässes Lernen an der Hochschule gegeben. In einer fünfteiligen Serie möchten wir nun die besonderen Highlights des Gesprächs präsentieren. Der Begriff ""positive Fehlerkultur"" wird vor allem in Bezug auf agile Arbeitsmethoden häufig verwendet. Im folgenden Videoabschnitt erklärt Prof. Dr. Andrea Back, warum sie findet, dass der Begriff unglücklich gewählt ist. Zudem schlägt sie eine bessere Alternative vor: ""Mutkultur"". [embed]https://www.youtube.com/watch?v=o2oRxugYoHg&feature=youtu.be[/embed]"
Agile Innovation,Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,"Sponsored Post. Die Swissteach AG hat ihr Portfolio im letzten Jahr merklich erweitert: seit Anfang 2019 hat der E-Learning Experte auch seinen Contentbereich in rekordverdächtiger Zeit auf- und beachtlich ausgebaut. Neben intern produzierten Individualcontents bietet die Schweizer Firma auch diverse Standardlösungen von Partnerfirmen zum sofortigen Gebrauch an. Hierbei setzt die Swissteach – wie bei all ihren Lösungen - fokussiert auf extrem hohe Qualität. Dies zeigt sich nicht nur durch den Gewinn des E-Learning Awards 2020 (in der Kategorie «WBT»), sondern auch in der Wahl ihrer Partner: Kürzlich nun hat die Swissteach ihre Partnerschaft mit CULTURE CONTACT bekannt gegeben. Das genannte Münchner Unternehmen mit CEO Susanne M. Zaninelli, ist spezialisiert auf Seminare im Berei..."
Agile Innovation,Unsere Empfehlung: Online Brainstorming Tool „Miro“,"Die kollaborative online Plattform „Miro“ ermöglicht es Teams live und digital zu brainstormen. Wir haben das Tool für die Forschung getestet und sind sehr begeistert. Im Folgenden finden Sie sechs Use Cases, die wir für die Verwendung von Miro herausgearbeitet haben: 1) Effektivere Meetings gestalten: Mit Miro lassen sich (agile) Workflows visuell sehr gut darstellen. Visuelle Workflows können  zu einer effizienteren Meeting-Kultur beitragen. Die Ergebnisse sind direkt online für jeden zu sehen und können für weitere To-Dos bequem weiterverwendet werden. 2) Bessere Notizen in der Vorlesung: Klassische lineare Notizen sind für das Lernen meistens unbrauchbar. Mithilfe von digitalen Mindmaps können komplexe Prozesse und Inhalte aus der Vorlesung leicht verständlich visualis..."
Agile Innovation,Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart,"Zum freien Download ist im November das Buch «Ecosystem Innovation», herausgegeben von Kickstart-Innovation, erschienen. Wir sind stolz, dass wir für einen Beitrag eingeladen wurden: Das Startup-Collaboration-Model (S. 80 ff.) ist im Rahmen einer Masterarbeit von Tina Werro und als Teil einer Doktorarbeit von Lukas Peter am Lehrstuhl entstanden. Auch toll, dass dieses hochaktuelle Buch mit den vielen Beitragenden von der Handelszeitung besprochen wurde. Wir forschen weiter in dem Bereich «Agile Innovation», wie wir es nennen, u.a. zu Intrapreneurship - freuen Sie sich auf einige weitere Beiträge auf diesem Blog. Bildquelle: https://kickstart-innovation.com/wp-content/uploads/2019/11/Ecosystem_Innovation_kickstart2019_vol2-1.pdf..."
Agile Innovation,"45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»","Von der Terminvereinbarung über die Reparatur des Fahrzeugs bis zum Versand der Rechnung: Werkstattprozesse bei Garagsiten laufen überall in etwa gleich ab. Doch neue Technologien haben das Potenzial, diese Prozesse zu vereinfachen und zu beschleunigen. Unsere Masterstudierende Fabienne Rudolf, Michèle Odermatt, Pascal Inauen und Sophie Stopp haben sich im Rahmen eines unserer Forschungs-, Praxis-, oder Venture-Projekte (kurz FPV) mit den Prozessen in einer Autowerkstatt und mit digitalen Technologien beschäftigt und konkrete Ideen für eine Autowerkstatt der Zukunft entworfen. Auftraggeber der Studie war der Automobil Gewerbe Verband Schweiz (kurz AGVS). Federführend beim AGVS war der Bereich Branchenvertretung unter der Führung von Markus Aegerter. Die Leitung seitens HSG hatten A..."
Agile Innovation,Digitaltag Schweiz 2019: In unserer Digital-Entrepreneurship-Werkstatt spüren Schülerinnen und Schüler ersten Unternehmergeist,"Technologie, Kreativität und Unternehmertum: Rund 30 Schülerinnen und Schüler erleben den nationalen Digitaltag am 3. September 2019 im Bildungslab Smartfeld im Startfeld Innovationszentrum in St.Gallen. Mit dem von unserem Doktroanden Arne Grüttner entwickelten Kurs «Digital-Entrepreneurship-Werkstatt» werden die Schülerinnen und Schüler auf die digitalen Herausforderungen von morgen sensibilisiert. Betreut von Joana Racine (Masterandin an der HSG und drei weiteren Studierenden) erleben SuS in unserem Tagesworkshop, was es heisst mit Hilfe der Design-Thinking Methode, einen ersten Prototypen einer Idee zu entwickeln. Die Design Thinking Methode, welche zur Lösung von komplexen Problemen und zur Entwicklung von Innovationen durch viele Unternehmen und Organisationen eingesetzt wi..."
Agile Innovation,Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,"Auf der Suche nach neuem Input zum Thema Intrapreneurship, bin ich über eine sehr spannende Podcast-Serie gestossen. Auf dem Blog „Zukunft der Arbeit“ veröffentlicht die Bertelsmann Stiftung in regelmäßigen Abständen Podcasts zur digitalen Transformation der Arbeitswelt. (Mit dem Ohr) hängen geblieben, bin ich am Podcast #18: ein Interview mit dem Autor Greg Larkin über Intrapreneurship. In seinem Buch „This might get me fired“ beschreibt er wie große Konzerne, trotz fest gefahrener Strukturen, innovative und digitale Produkte in nur 8 Wochen auf den Markt bringen können. Das Buch richtet sich primär an Intrapreneurs, die sich nicht trauen riskante und unbekannte Wege zu gehen. Die Idee ist eben, so betont Larkin in dem Podcast, Intrapreneurs Strategien an die Hand zu ge..."
