Autor,Titel,Tags,Text
Prof. Dr. Andrea Back,"Mobile Apps im Gesundheitsbereich,Weitere Artikel",Mobile Business,"Dieser Artikel, der im vergangenen Herbst im Magazin brand eins erschien,Studie “CHARISMHA”,Eine Kurzfassung der Stude CHARISMHA können Sie hier herunterladen.,Philips Lumify by Philips Communications,CC BY-NC-ND,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Entdecke das Potenzial des Internet of Things,Weitere Artikel",Mobile Business,"Mit dem Thema Mobile Business verbinden viele Menschen vor allem Anwendungen auf dem Smartphone, Apps, die uns das Arbeiten von ausserhalb des Arbeitsplatzes erleichtern. Vielleicht auch solche, die Mitarbeitenden im Feld oder Aussendienst wichtige Informationen liefern oder die Kommunikation mit Kollegen oder IT-Systemen ermöglichen. Das Smartphone ist jedoch längst nicht mehr das einzige Gerät, das es uns ermöglicht, Kommunikationstechnologien remote zu nutzen. Stattdessen werden immer mehr Geräte und Objekte an das Internet angeschlossen. Diese können im Haushalt platziert sein (wie beispielsweise smarte Einbruchsicherungsanlagen oder ein selbstnachbestellender Kühlschrank), im öffentlichen Raum (wie smarte Verkehrsleitsysteme oder Luftverschmutzungssensoren), aber auch in betrieblichen Settings wie Büros (smarte Beleuchtungssysteme), Fabriken (smarte Maschinen, Sensoren für Predictive Maintainance, Beacons) oder auf Baustellen (smarte Werkzeuge und Maschinen). Die Gesamtheit dieser “smarten” Objekte bezeichnen wir als “Internet of Things” (IoT).,Wie aber kann man sich das Internet of Things als Unternehmen zunutze machen? Möglichkeiten dafür gibt es viele, aber wie entdeckt man die richtigen? Einen Ansatz zur Entwicklung von IoT-Lösungen bietet das ,IoT Service Kit von Futurice,. Das Kit besteht aus schematischen Zeichnungen von verschiedenen Orten (z.B. ein Supermarkt, ein öffentlicher Platz, ein Büro), Spielkarten mit verschiedenen Technologien und Datenquellen (z.B. Beacons, Bewegungssensoren, Feuchtigkeitssensoren, Kameras, Drohnen) und physischen Spielfiguren von möglichen Nutzergruppen (Fussgänger, Autofahrer, Fahrradfahrer) – und dies alles Open-Source zum Selberdrucken bzw. Selber-3D-drucken. Die Workshopteilnehmer suchen sich ein Setting aus und bekommen eine kurze Problemstellung präsentiert. Beim öffentlichen Platz kann dies zum Beispiel ein Vermüllungsproblem sein oder beim Büro der Auftrag, das betriebliche Gesundheitsmanagement zu verbessern. Anschliessend müssen Sie die aktuelle “User Journey” der relevanten Nutzergruppen auf dem Ortsplan nachspielen und diese dann mit Hilfe der Technologien verbessern. Besonders gefragt sind dabei Lösungen, die nicht nur mit einer Technologie ein konkretes Problem lösen, sondern solche, die verschiedene Technologien und Datenquellen verbinden, um ein ganzes Lösungssystem zu generieren.,An unserem Lehrstuhl haben wir das Innovation Kit in einem Bachelorkurs selbst ausprobiert. Die Studierenden entwickelten dabei spannende und innovative Ideen, unter anderem für das Management des Besucherandrangs in Fussballstadien und die Verschmutzung eines Parks. Aber auch Beratungsunternehmen wie Namics wenden das Innovation Kit in Workshops mit Kunden an – mit jeweils speziell zugeschnittenen Szenarien und Aufgabenstellungen. Durch die visuelle und haptische Dimension des Sets können User Journeys besser veranschaulicht und Probleme iterativ in einem spielerischen Prozess gelöst werden. Das Kit verbindet dabei die zentralen Innovationsansätze der Technology Push Innovation (durch den Fokus auf IoT-Technologien) und der Demand Pull Innovation (durch den Fokus auf die User Journeys). Auch wenn der Workshop selbst keine bahnbrechenden Lösungen bringen sollte, so gibt er doch den Teilnehmenden einen guten Eindruck davon, was mit IoT alles möglich ist.,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Prof. Dr. Andrea Back,"Wer die Leitungsfunktion für digitale Transformation inne hat,Weitere Artikel",Digital,"Wenn Organisationen die digitale Transformation zu einer strategischen Initiative machen, stellt sich die Frage, wer hier die Leitungsfunktion übernimmt. Eine Studie, die erhebt, wie sich das in der Gesamtheit darstellt, ist der jährliche Report von Altimeter, aktuell diese Ausgabe ,„The 2017 State of Digital Transformation“,. Unter den Highlights auf S. 4 heisst es „Some executives are beginning to own digital transformation efforts, and the Chief Information Officer (CIO) is most often at the helm (28%)“. Vgl. dazu die Abbildung hier im Beitrag (Fig. 2, S. 7 des Reports). Das ist mir gleich aufgefallen, denn im Report vom Vorjahr waren bei dieser Frage die Chief Marketing Officers klar an erster Stelle. Das scheint auch kein Erhebungszufall zu sein, sondern die Beobachtung einer Entwicklung. Brian Solis kommt nämlich zur Schlussfolgerung: „The CIO surpasses the CMO in leading Digital Transformation“. In den Erhebungen von 2015 führten in 34% der befragten Unternehmen nämlich noch die CMOs die DT-Initiativen, gegenüber CIOs/CTOs mit 19%.,
						,Prof. Dr. Andrea Back,
							,Digital"
Lena-Marie Paetzmann,"Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,Weitere Artikel","Agile Innovation,Future of Work,Learning Innovations,Linktipps","In einem Interview für die Plattform “,Learning Insights,” hat Frau Prof. Dr. Andrea Back Einblicke in zeitgemässes Lernen an der Hochschule gegeben. In einer fünfteiligen Serie möchten wir nun die besonderen Highlights des Gesprächs präsentieren.,Der Begriff “positive Fehlerkultur” wird vor allem in Bezug auf agile Arbeitsmethoden häufig verwendet. Im folgenden Videoabschnitt erklärt Prof. Dr. Andrea Back, warum sie findet, dass der Begriff unglücklich gewählt ist. Zudem schlägt sie eine bessere Alternative vor: ,.,
						,Lena-Marie Paetzmann,
							,Agile Innovation,, ,Future of Work,, ,Learning Innovations,, ,Linktipps"
Lena-Marie Paetzmann,"Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen,Weitere Artikel","Lehrstuhlnachrichten,Mobile Business,Smart-IoT","Am 8. April 2020 hat unser Jurytag 2020 online über Zoom stattgefunden. Unsere erfahrene,Jury,hat bei einer regen und sehr fundierten Diskussion die nominierten Lösungen bestimmt. Insgesamt gab es 16 Einreichungen. Besonderer Fokus lag bei der Jurierung auf dem Business Value der jeweiligen Lösungen. Im nächsten Mai-Newsletter werden Sie die Auflistung der Nominierten jeweils aus dem IoT und Mobile Business Bereich erfahren.  Wir sind sehr gespannt die Nominierten bei ihren Pitches am Forum Day kennenzulernen. Individuelles Feedback unserer Jury bekommen die Nominierten und Nicht-Nominierten persönlich per Mail zugeschickt. Wir bedanken uns ganz herzlich bei unserer engagierten Jury und freuen uns alle persönlich am Forum Day zu sehen.,unserer Website,
						,Lena-Marie Paetzmann,
							,Lehrstuhlnachrichten,, ,Mobile Business,, ,Smart-IoT"
Lena-Marie Paetzmann,"Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,Weitere Artikel","Digital,Learning Innovations,Linktipps","Am , , findet die ,Learning Innovation Konferenz, zum ersten Mal online statt – Prof. Dr. Andrea Back ist im Beirat dieser Konferenz. Gerne möchten wir Ihnen einen Einblick in die Themen und das Programm geben. Die Teilnahme ist kostenlos.,Die LEARNING INNOVATION hat sich zum Ziel gesetzt, Innovationen im Lernen zu entdecken, zu reflektieren und zu praktizieren. Die Konferenz präsentiert relevante und neue, businessorientierte Lehr- und Lernformen und beobachtet stets den Horizont der laufenden und kommenden Entwicklungen.  Die 11. Learning Innovation Konferenz wird sich mit dem Thema , beschäftigen und Expert*innen aus verschiedenen Fachbereichen zusammenbringen. In Keynotes und weiteren Vorträgen werden 6 zentrale Fragen beantwortet:,
Die Learning Innovation Konferenz 2020 ist für Besuchende , Tickets können , gebucht werden.,Weitere Infos zur Konferenz, zum , und zur Online-Teilnahme finden Sie ,HIER.,https://www.learning-innovation.ch ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Linktipps"
Lena-Marie Paetzmann,"360-Grad Bilder und VR-Brillen erklärt von der Maus,Weitere Artikel","Digital,Learning Innovations,Learning to Code,Linktipps","Wir haben interessante Video-Beiträge (zwischen 3 und 20 Minuten) auf der Seite mit der Maus entdeckt. Gerne würden wir Ihnen ein Spezielles hier vorstellen. Wie einzelne Fotos mit einer speziellen Software „zusammengenäht“ (engl.: gestiched) werden können, und was das mit dem Kölner Dom auf sich hat, wird im folgenden Video deutlich:,Quelle: https://www.wdrmaus.de/filme/sachgeschichten/360_grad.php5,In diesem Video wird auch sehr anschaulich die Funktion von VR-Kameras erklärt. Wir finden das Video spannend, auch für Erwachsene. Ein Blick auf die Seite mit der Maus lohnt sich also allemal.,Auf der Seite mit der Maus sind noch weitere Beiträge zu aktuellen Technologien zu finden. Ausserdem können Kinder und Jugendliche (aber auch wir) mit der Maus spielerisch Programmieren lernen: ,https://programmieren.wdrmaus.de/welcome,https://www.wdrmaus.de/extras/mausthemen/digitalisierung/index.php5 ,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Learning to Code,, ,Linktipps"
Prof. Dr. Andrea Back,"Triple Overload: Immer hochgradig beschäftigt,Weitere Artikel",Leseempfehlung,"Warum sind wir immer so beschäftigt? Das Whitepaper ,“Dreifache Überlastung und was du dagegen tun kannst”, von Evernote Schweiz hinterfragt dieses verbreitete Leidensgefühl. Dieses wird gespeist von Daten-, Kommunikations- und kognitiver Überlastung. Lesenswert besonders wegen der vielen konkreten Tipps, wie man die Kontrolle über seinen Arbeitstag zurückgewinnen kann. Und keine Sorge, es geht keinesfalls um neue “coole” Tools, eher um einfache, kleine neue Gewohnheiten.,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Prof. Dr. Andrea Back,"JIM-Studie 2017 zum Medienumgang von Jugendlichen,Weitere Artikel",Leseempfehlung,"JIM-Studie,Bildquelle: ,www.mpfs.de,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Lena-Marie Paetzmann,"4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19,Weitere Artikel","Digital,Learning Innovations,Linktipps","In einem Bericht des JISC (Joint Information Systems Committee) wurden kürzlich Ergebnisse einer Umfrage veröffentlicht, die das digitale Lernerlebnis von Schülern & Schülerinnen und Studierenden behandelt. Die Umfrage wurde zwischen Oktober 2019 und Mai 2020 durchgeführt, wobei die Mehrheit (90%) der Befragten die Umfrage vor dem Lockdown im Vereinigten Königreich ausgefüllt hat. Insgesamt haben 39.712 Studierende aus 64 Organisationen (sowohl weiterführende als auch höhere Bildungseinrichtungen) an dieser Umfrage teilgenommen. Die Website , hat mehrere Tipps für die Einbindung von Videos in die Lehre aus dem Bericht zusammengefasst, die wir im Folgenden verkürzt darstellen.,Den kompletten ,Bericht, können Sie ,HIER, herunterladen.,Es ist wahrscheinlich wichtiger denn je, Vorlesungsaufzeichnungen zur Verfügung zu stellen, um Studierende ideal zu unterstützten.  Die Befragten äußerten sich besonders lautstark über die Bedeutung von Videomaterial für die Wiederholung von Vorlesungen, und dies nicht nur in diesen besonderen Zeiten. Studierende erklärten (Zitate von Befragten sind im Bericht enthalten), dass aufgezeichnete Vorlesungen sich besonders gut für die Vorbereitung auf Examen eignen, um alle Sinne (hören, sehen) zu bedienen und schon Bekanntes aus der Vorlesung erneut zu wiederholen., ,Die Schülerinnen und Schüler wurden gebeten, aus folgenden Optionen eine auszuwählen, die für sie als Lernende am nützlichsten ist: interaktive Umfragen oder Quizfragen im Unterricht, Online-Arbeit mit anderen Schülerinnen und Schülern, online verfügbare Übungsfragen, Literaturhinweise, sowie kursbezogene Videos. 1 von 4 Befragten gab an, dass Online-Videos und -Ressourcen sie am meisten unterstützen.,Als die Befragten gebeten wurden, ein digitales Tool oder eine App zu nominieren, die die Studierenden als wirklich nützlich für das Lernen empfinden, nannten 15,3 % der Studierenden Youtube. Im letzten Jahr haben nur 3 % der Studierenden diese Plattform nominiert. Dieser drastische Anstieg unterstreicht die zunehmende Nützlichkeit von Youtube im Lernkontext. Wie unsere ,Kolumne von September,aufgezeigt, gibt es ganz einfache Techniken, um mit dem Smartphone Lernvideos für Youtube zu drehen.,Obwohl Social-Media-Plattformen wie Facebook, WhatsApp und Snapchat die bevorzugten Plattformen für die Sofortkommunikation sind, gab 1 von 10 Studierenden im Hochschulbereich an, dass sie Videokonferenz- Tools für die Zusammenarbeit und Diskussion von Kursarbeiten mit Gruppenmitgliedern nutzen, im Vergleich zu 1 von 5 Studierenden in der Weiterbildung. Es ist ziemlich alarmierend, dass eine bedeutende Anzahl von Studierenden angab, noch nie online mit anderen Lernenden zusammengearbeitet zu haben, nämlich 33% in der Weiterbildung und 44% in der Hochschulbildung (obwohl diese Zahlen anders ausfallen könnten, wenn diese Umfrage während der Sperrzeit durchgeführt worden wäre). Der Bericht deutet darauf hin, dass nur sehr wenige Lernende online mit anderen Lernenden zusammenarbeiten. Auch wenn sich eine physische Zusammenarbeit nicht durch eine Video-Konferenz ersetzten lässt, glauben wir, dass Studierende in der jetzigen Situation diese Lösungen nutzen sollten, um die Motivation zum Studium aufrechtzuerhalten und das Gefühl der Isolation zu mildern. In ,diesem vergangenen Blog-Beitrag, haben wir aufgezeigt, wie das Tool , auch wunderbar für die interaktive Zusammenarbeit in einem digitalen Lernumfeld genutzt werden kann.,https://www.sesp.northwestern.edu/news-center/news/2018/01/two-sesp-faculty-projects-earn-provosts-digital-learning-fellowship.html,
						,Lena-Marie Paetzmann,
							,Digital,, ,Learning Innovations,, ,Linktipps"
