hastag;Titel
Digital;(Nicht) noch ein Sprachassistenten oder „Hallo Magenta!“
Digital;“Business-Thinking”-Fokus im Master-Kurs
Lehrstuhlnachrichten;“Business-Thinking”-Fokus im Master-Kurs
Mobile Business;“Business-Thinking”-Fokus im Master-Kurs
Smart-IoT;“Business-Thinking”-Fokus im Master-Kurs
Cyber Security;“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan
Future of Work;“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan
Digital;«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools
Future of Work;«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools
Management Tools;«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools
Mobile Business;10% happier: Meditation für Skeptiker
Lehrstuhlnachrichten;15 Einreichungen zum IWI-HSG Mobile Business Best Practice Award – Rekord
Mobile Business;3 essentielle Tipps für E-Book Newbies: Was sollten Sie beim Formatieren eines E-Books unbedingt beachten?
Artificial Intelligence;3 spannende KI-Startups vom «World Summit AI» in Amsterdam
Digital;3 spannende KI-Startups vom «World Summit AI» in Amsterdam
Artificial Intelligence;3. Startfeld Innovationsforum zum Thema “Jäger & Sammler: Mehrwert durch Datennutzung”
Digital;3. Startfeld Innovationsforum zum Thema “Jäger & Sammler: Mehrwert durch Datennutzung”
Digital;360-Grad Bilder und VR-Brillen erklärt von der Maus
Learning Innovations;360-Grad Bilder und VR-Brillen erklärt von der Maus
Learning to Code;360-Grad Bilder und VR-Brillen erklärt von der Maus
Linktipps;360-Grad Bilder und VR-Brillen erklärt von der Maus
Digital;4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19
Learning Innovations;4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19
Linktipps;4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19
Agile Innovation;45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»
Digital;45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»
Lehrstuhlnachrichten;45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»
Praxisprojekt;45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»
Lehrstuhlnachrichten;6. St.Gallen Mobile Business Forum am 7. Nov. in Zürich
Learning Innovations;9 Plattformen zum Programmieren lernen
Lehrstuhlnachrichten;Agil als Managementprinzip macht Karriere: Agile Methoden sind über Softwareentwicklung – wie mit SCRUM – hinaus anwendbar
Artificial Intelligence;AI for Everyone: Ein empfehlenswerter Crashkurs über Künstliche Intelligenz
Artificial Intelligence;AI generierte Gesichter: Können wir unseren Augen noch trauen?
Digital;Angstbefreites Scheitern – ein Interview mit Prof. Dr. Andrea Back in der HZ
Lehrstuhlnachrichten;Angstbefreites Scheitern – ein Interview mit Prof. Dr. Andrea Back in der HZ
Mobile Business;App-Programmierung einfach gemacht
Digital;Arbeitsform „Freelancer“ unter die Lupe genommen
Leseempfehlung;Artificial Intelligence – Studierende wollen Anwendungen hands-on verstehen
Lehrstuhlnachrichten;Auf der Suche einer neuen Location für das 6. Mobile Business Forum – Coworking Tour in Zürich
Digital;Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards
Lehrstuhlnachrichten;Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards
Mobile Business;Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards
Smart-IoT;Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards
Mobile Business;Augmented Worker – Reparatur einer Wärmepumpe mit der Hololens
Lehrstuhlnachrichten;Ausblick: Research Salon am Comer See
Digital;Bachelorstudierende entwickeln innovative Ideen mit Hilfe des «IoT Service Kits»
Learning Innovations;Bachelorstudierende entwickeln innovative Ideen mit Hilfe des «IoT Service Kits»
Lehrstuhlnachrichten;Bachelorstudierende entwickeln innovative Ideen mit Hilfe des «IoT Service Kits»
Learning Innovations;Beitrag Marketplace an der SeLC: Mini Design Thinking Sprint zur Zukunft der Lehre
Digital;Bekanntgabe der nominierten Lösungen des Forum Day 2020
Lehrstuhlnachrichten;Bekanntgabe der nominierten Lösungen des Forum Day 2020
Mobile Business;Bekanntgabe der nominierten Lösungen des Forum Day 2020
Smart-IoT;Bekanntgabe der nominierten Lösungen des Forum Day 2020
Kolumne;Bereits 1925 erfunden – Multifunktionsmaske fürs Büro
Future of Work;Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch
Learning Innovations;Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch
Linktipps;Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch
Sponsored Post;Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch
Future of Work;Beyond the End of Work: Es ist rational, optimistisch in die Zukunft zu blicken
Digital;Big Data in der Lehre (be)greifbar machen
Learning Innovations;Big Data in der Lehre (be)greifbar machen
Leseempfehlung;Big Data in der Lehre (be)greifbar machen
Linktipps;Big Data in der Lehre (be)greifbar machen
Digital;Bildungseinrichtungen digital transformiert
Mobile Business;Blockchain – mehr als nur Bitcoins?
Leseempfehlung;Buch „Lean Startup“: Zuhören und Dienen als Geschäftsprinzip
Leseempfehlung;Buch Homo Deus – in was für einer Zukunft wollen wir leben?
Digital;Bund und Verbände lancieren Cybersecurity-Schnelltest für KMU
Lehrstuhlnachrichten;Call for Papers
Digital;Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”
Lehrstuhlnachrichten;Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”
Sports Digitalization;Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”
Digital;Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»
Lehrstuhlnachrichten;Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»
Smart-IoT;Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»
Lehrstuhlnachrichten;CAS Digital Insurance Transformation
Digital;Cellulo: mit einem Roboter Schreiben lernen
Learning Innovations;Cellulo: mit einem Roboter Schreiben lernen
Learning to Code;Cellulo: mit einem Roboter Schreiben lernen
Linktipps;Cellulo: mit einem Roboter Schreiben lernen
Digital;Changing the Game: Der Aufstieg von Sports Analytics
Digital;Clockify – ein Zeiterfassungssystem für projektübergreifende Teams
Future of Work;Clockify – ein Zeiterfassungssystem für projektübergreifende Teams
Management Tools;Clockify – ein Zeiterfassungssystem für projektübergreifende Teams
Productivity Tools;Clockify – ein Zeiterfassungssystem für projektübergreifende Teams
Lehrstuhlnachrichten;Coding spielend entdecken – für Kinder
Kolumne;Corona-Quarantäne als Zeitgeschenk der Möglichkeiten
Future of Work;Co-Working aus Unternehmenssicht II: Unsere neue Studie
Lehrstuhlnachrichten;Darf ich vorstellen: Neues Gesicht am Lehrstuhl
Learning Innovations;Darf ich vorstellen? e.DO der erste nach ISO zertifizierte Lernroboter
Mobile Business;Das Bitcoin Handy: Wie ein Israerlisches Unternehmen den Einsatz von Bitcoins vereinfachen will
Future of Work;Das Büro der Zukunft: eine Visualisierung
Linktipps;Das Büro der Zukunft: eine Visualisierung
Leseempfehlung;Das Design Thinking Playbook
Kolumne;Das Mandala-Osterei Experiment
Future of Work;Das virtuelle Büro – arbeiten wir bald alle in der virtuellen Welt?
Kolumne;Das Web hat ein Messie-Syndrom
Leseempfehlung;Data-Literacy-Kompetenzen vermitteln
Lehrstuhlnachrichten;DayCatcher: Achtsamkeits-Training in der Digitalen Welt
Praxisprojekt;DayCatcher: Achtsamkeits-Training in der Digitalen Welt
Digital;Der Tisch als Zentrum in der Zukunftswohnung
Future of Work;Design Fiction: Ein neuer Blickwinkel auf die (Arbeits-)Welt der Zukunft
Kolumne;Devices und Apps für Helikoptereltern – mit Fragezeichen
Digital;Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020
Learning Innovations;Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020
Lehrstuhlnachrichten;Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020
Digital;Die Entwicklung zur Mikromobilität in Europa: Der E-Tretroller
Kolumne;Die Erstbesteigung des Matterhorns im Startup-Jargon
Digital;Die Gewinner des Coronavirus? Teamview, Zoom und Co.
Future of Work;Die Gewinner des Coronavirus? Teamview, Zoom und Co.
Lehrstuhlnachrichten;Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen
Mobile Business;Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen
Smart-IoT;Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen
Learning Innovations;Die Kunst des “Unlearnings”: Der Moment, in dem es “klick” macht
Leseempfehlung;Die Kunst des “Unlearnings”: Der Moment, in dem es “klick” macht
Digital;Die Numerokratie greift um sich – Wirken Rankings, Likes und Sternchen wie selbstverordnete Freiheitsberaubung?
Digital;Die Sprache der Videokonferenzen: die wichtigsten Handzeichen
Future of Work;Die Sprache der Videokonferenzen: die wichtigsten Handzeichen
Linktipps;Die Sprache der Videokonferenzen: die wichtigsten Handzeichen
Digital;Die Zukunft des Lernens: ein Goldman Sachs Briefing
