Artikel,Kategorie
Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen,Agile Innovation
Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,Agile Innovation
"Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?",Agile Innovation
Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,Agile Innovation
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Agile Innovation
Unsere Empfehlung: Online Brainstorming Tool „Miro“,Agile Innovation
Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart,Agile Innovation
"45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»",Agile Innovation
Digitaltag Schweiz 2019: In unserer Digital-Entrepreneurship-Werkstatt spüren Schülerinnen und Schüler ersten Unternehmergeist,Agile Innovation
Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,Agile Innovation
Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,Agile Innovation
Insights vom 49. St.Gallen Symposium zum Thema “Capital for Purpose”,Allgemein
Unsere Linktipps im Februar,Allgemein
Trendradar von fortiss zu aktuellen Softwarethemen,Artificial Intelligence
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Artificial Intelligence
3 spannende KI-Startups vom «World Summit AI» in Amsterdam,Artificial Intelligence
Roboter löst Rubik’s Cube ohne menschliche Hilfe,Artificial Intelligence
Eddy: ein KI-Reiseassistent per Chat und Sprachnachricht,Artificial Intelligence
3. Startfeld Innovationsforum zum Thema “Jäger & Sammler: Mehrwert durch Datennutzung”,Artificial Intelligence
Manipulierte Videos: Die Gefahr durch Deepfakes,Artificial Intelligence
AI for Everyone: Ein empfehlenswerter Crashkurs über Künstliche Intelligenz,Artificial Intelligence
AI generierte Gesichter: Können wir unseren Augen noch trauen?,Artificial Intelligence
Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,Corporate Entrepreneurship
Highlights vom Start Summit: Auf der Suche nach dem «Unicorn»,Corporate Entrepreneurship
“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan,Cyber Security
Mehr (digitale) Privatsphäre durch besondere Kleidung?,Cyber Security
Jami – sicher chatten durch Blockchain,Cyber Security
Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,Digital
“Business-Thinking”-Fokus im Master-Kurs,Digital
Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,Digital
Global Learning Landscape 2021,Digital
Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen,Digital
Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»,Digital
Methoden zur effektiveren Gestaltung von E-Postern,Digital
Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),Digital
Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen,Digital
Lach- und Sachgeschichten von der Maus: SmartHome,Digital
Digital Storytelling am Zukunftstag,Digital
Studie – Digital Transformation Index 2020 von Dell Technologies,Digital
360-Grad Bilder und VR-Brillen erklärt von der Maus,Digital
Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,Digital
Management Weiterbildung – Megatrends sprechen für Aufwind,Digital
Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung,Digital
Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»,Digital
Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,Digital
Digital Storytelling – möglicher Einsatz im Bildungskontext,Digital
Kleines E-Learning Glossar,Digital
E-LEARNING SO GEFRAGT WIE NOCH NIE,Digital
4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19,Digital
Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt,Digital
ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,Digital
Storytelling im eLearning Kontext – Tipps für die Praxis,Digital
Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,Digital
Trendradar von fortiss zu aktuellen Softwarethemen,Digital
High-Resolution Prototyp für das Gesundheitswesen,Digital
Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”,Digital
Fortschrittsverfolgung der Digitalen Transformation im Unternehmen – ausgehend von Digitale Reife Assessments,Digital
Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?,Digital
